name,license,city,phone,addr,open,close
Aldo Sohm Wine Bar,NY73063,New York,212-554-1143,151 W 51st St.,12:00,00:00
Angel's Share,NY54434,New York,212-777-5415,8 Stuyvesant St.,18:00,02:30
Attaboy,NY23508,New York,855-877-9900,134 Eldridge St.,18:00,04:00
Bar Goto,NY41327,New York,212-475-4411,245 Eldridge St.,17:00,02:00
Bar5,CT50277,Hartford,860-906-1835,5 Constitution Plz.,07:00,18:00
Black Bear Bar & Grill,NJ93236,Hoboken,201-656-5511,205 Washington St.,11:00,02:00
Blind Tiger Ale House,NY82135,New York,212-462-4682,281 Bleecker St.,11:30,04:00
Broken Shaker,NY93634,New York,212-475-1920,23 Lexington Ave.,16:00,02:00
Carpe Diem Pub & Restaurant,NJ84472,Hoboken,201-792-0050,1405 Grand St.,16:00,02:00
Clover Club,NY30950,New York,718-855-7939,210 Smith St.,16:00,04:00
Cooper's Union,NJ27386,Hoboken,201-222-3443,104 Hudson St.,16:00,02:00
Cork City,NJ45764,Hoboken,201-963-5512,239 Bloomfield St.,16:00,02:00
Dante,NY35807,New York,212-982-5275,79 Macdougal St.,10:00,00:00
DC's Tavern,NJ66944,Hoboken,201-792-5550,505 8th St.,14:00,03:00
Dear Irving,NY45181,New York,NA,55 Irving Pl.,17:00,02:00
Death & Company,NY18300,New York,212-388-0828,433 E 6th St.,18:00,02:00
Dutch Kills,NY90747,New York,718-383-2724,27 Jackson Ave.,17:00,02:00
Employees Only,NY55191,New York,212-242-3021,510 Hudson St.,18:00,04:00
Federal Cafe,CT45552,Hartford,860-527-0394,84 Union Pl,15:00,01:00
Finnegan's Pub,NJ47304,Hoboken,201-217-1512,734 Willow Ave.,17:00,02:00
G.Millz Boken Roadhouse,NJ55399,Hoboken,201-620-9875,61 Jackson St.,11:00,00:00
Ghost Donkey,NY96955,New York,212-254-0350,4 Bleecker St.,17:00,02:00
Grand Vin,NJ74516,Hoboken,201-656-0012,500 Grand St.,17:00,00:00
Holiday Cocktail Lounge,NY90665,New York,212-777-9637,75 St. Marks Pl.,16:00,04:00
L BAR,CT81647,Hartford,860-760-2342,200 Columbus Blvd.,11:00,00:00
Louise & Jerry's,NJ39489,Hoboken,201-656-9698,329 Washington St.,13:00,02:00
Mace,NY23380,New York,347-866-7739,649 E 9th St.,17:00,02:00
Maison Premiere,NY44878,New York,347-335-0446,298 Bedford Ave.,11:00,04:00
Mayahuel,NY96977,New York,212-253-5888,304 E 6th St.,17:00,02:00
McSorley's Old Ale House,NY63092,New York,212-473-9148,15 E 7th St.,11:00,13:00
Moran's,NJ28233,Hoboken,201-795-2025,501 Garden St.,17:00,01:00
Mulligan's,NJ50830,Hoboken,201-876-4101,159 1st St.,14:00,02:00
Nitecap,NY36428,New York,212-466-3361,151 Rivington St.,18:00,02:00
Northern Soul,NJ78859,Hoboken,201-217-8784,700 1st St.,11:00,02:00
Please Don't Tell,NY64400,New York,212-614-0386,113 St. Marks Pl.,18:00,02:00
Pegu Club,NY54083,New York,212-473-7348,77 W Houston St.,17:00,02:00
Phoenix Bar and Grille,NJ85136,Hoboken,201-216-0888,1 Hudson Pl.,12:00,23:00
Pig's Eye Pub,CT16738,Hartford,860-278-4747,356 Asylum St.,16:00,01:00
Pilsner Haus & Biergarden,NJ36765,Hoboken,201-683-5465,1422 Grand St.,16:00,00:00
Pouring Ribbons,NY19638,New York,917-656-6788,255 Avenue B,18:00,02:00
Primo's,NY51220,New York,917-512-3432,129 Chambers St.,17:00,02:00
Raines Law Room,NY76486,New York,NA,48 W 17th St.,17:00,01:00
Rocking Horse Saloon,CT37839,Hartford,860-247-2566,181 Ann Uccello St.,16:00,02:00
Side Bar,CT25658,Hartford,860-904-7292,1 Haynes St.,16:00,02:00
Slowly Shirley,NY94731,New York,212-243-2827,121 W 10th St.,18:00,04:00
The Ale House,NJ20474,Hoboken,201-798-5650,1034 Willow Ave.,17:00,02:00
The Aviary NYC,NY41305,New York,212-805-8800,80 Colombus Cir.,12:00,00:00
The Blind Pig Pizza,CT77618,Hartford,860-744-4333,89 Arch St.,11:00,21:00
The Dead Rabbit,NY11754,New York,646-422-7906,30 Water St.,11:00,16:00
The Honeywell,NY61815,New York,646-861-0498,3604 Broadway,17:00,02:00
The NoMad Bar,NY27435,New York,212-796-1500,10 W 28th St.,17:00,02:00
The Pig and Parrot,NJ48773,Hoboken,201-683-7370,77 Hudson St.,11:00,03:00
The Press,CT32084,Hartford,860-216-6538,187 Allyn St.,11:00,01:00
The Russian Lady,CT37368,Hartford,860-247-5239,191 Ann Uccello St.,16:00,01:00
The Shepherd & the Knucklehead,NJ92896,Hoboken,201-714-4222,1313 Willow Ave.,15:00,02:00
The Winston,NJ12538,Hoboken,201-683-6188,72 Hudson St.,16:00,02:00
TÃ¸rst,NY24017,New York,718-389-6034,615 Manhattan Ave.,12:00,00:00
Vaughan's Public House,CT64281,Hartford,860-882-1560,59 Pratt St.,15:00,01:00
Wilton House,NJ59071,Hoboken,201-683-3431,58 Newark St.,08:00,02:00
Zack's Oak Bar & Restaurant,NJ52156,Hoboken,201-653-7770,232 Willow Ave.,11:00,02:00